Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Brooklyn,47,BK25,Homecrest,44316,3474,3065,2931,3020,3382,3372,2883,2763,2501,2663,2617,2673,2580,6392,35.1
Brooklyn,47,BK26,Gravesend,29436,1703,1543,1544,1912,2012,2151,1840,1885,1738,2075,2088,1972,1958,5015,40.3
Brooklyn,47,BK27,Bath Beach,29931,1766,1668,1672,1581,1922,2234,2308,2241,2006,2080,2097,1930,1653,4773,39
Brooklyn,47,BK28,Bensonhurst West,88727,5104,4905,5038,5405,6731,6877,6398,6130,5974,6686,6283,5674,4955,12567,38.2
Brooklyn,47,BK29,Bensonhurst East,62978,3578,3377,3360,3528,4381,4924,4743,4400,4354,4613,4639,4214,3619,9248,39.1
Brooklyn,47,BK30,Dyker Heights,42419,2434,2428,2412,2546,2771,3157,3005,2947,3107,3222,3081,2709,2303,6297,39.1
Brooklyn,47,BK31,Bay Ridge,79371,4686,4089,3833,3848,4737,7316,6810,6285,5778,5654,5564,5109,4349,11313,38.5
Brooklyn,47,BK32,Sunset Park West,54041,3841,3381,3054,3531,5003,6214,5385,4442,3935,3441,2959,2439,2068,4348,31.7
Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,38353,2748,1942,1620,1577,1885,3986,5030,4188,3376,2603,2099,1821,1606,3872,35.4
Brooklyn,47,BK34,Sunset Park East,72340,5949,5172,4362,4832,6323,7374,6586,5682,4889,4835,4311,3606,2757,5662,31.5
Brooklyn,47,BK35,Stuyvesant Heights,63504,4290,4158,4424,4987,5316,5466,4908,4371,4511,4736,4172,3304,2739,6122,33.1
Brooklyn,47,BK37,Park Slope-Gowanus,67649,4548,3104,2392,2144,3610,8882,9258,7321,5578,4419,3973,3706,3109,5605,34.9
Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,34495,2255,1532,1550,1669,2264,3986,4424,3565,2781,2333,1896,1676,1483,3081,34.5
Brooklyn,47,BK40,Windsor Terrace,20988,1447,1054,878,759,1105,1971,2211,2174,1701,1467,1420,1265,1038,2498,37.4
Brooklyn,47,BK41,Kensington-Ocean Parkway,36891,2677,2680,2545,2647,2709,3090,2901,2749,2315,2335,2410,2153,1766,3914,33.6
Brooklyn,47,BK42,Flatbush,105804,7560,6818,6843,7476,8342,8879,8137,7629,7113,7177,7338,6547,5359,10586,34.2
Brooklyn,47,BK43,Midwood,52835,4006,3685,3824,4106,4038,3800,3053,2869,2823,3049,3304,3298,3091,7889,34.8
Brooklyn,47,BK44,Madison,38917,2312,2233,2243,2491,2679,2553,2396,2263,2402,2716,2921,2794,2676,6238,40.6
Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,45231,2976,3112,2957,2741,2612,2562,2723,2966,2997,3201,3502,3140,3066,6676,39.9
Brooklyn,47,BK46,Ocean Parkway South,20299,2088,1576,1519,1552,1629,1591,1321,982,1015,966,1070,1184,1132,2674,30.6
Brooklyn,47,BK50,Canarsie,83693,5027,5369,5909,6838,6425,5766,5497,5337,5713,6406,6652,5687,4420,8647,35.9
Brooklyn,47,BK58,Flatlands,64762,3894,4178,4487,5042,4877,4378,4086,4251,4215,4719,4892,4444,3687,7612,36.7
Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,67459,4205,3803,3854,4321,5041,5832,5098,4538,4461,4588,5103,4372,3713,8530,36.7
Brooklyn,47,BK61,Crown Heights North,103169,6871,6338,6786,7495,8844,9779,8460,7198,7141,7060,6782,5473,4504,10438,33.1
Brooklyn,47,BK63,Crown Heights South,39670,3002,2573,2607,2833,3676,3544,2906,2467,2422,2476,2537,2262,1894,4471,32.6
Brooklyn,47,BK64,Prospect Heights,19849,1267,767,584,634,1100,2686,3008,2271,1664,1270,1055,1014,889,1640,34.8
Brooklyn,47,BK68,Fort Greene,26079,1548,1116,1163,1674,1932,2986,3067,2472,1808,1566,1378,1192,1179,2998,34.2
Brooklyn,47,BK69,Clinton Hill,34791,2231,1566,1288,2126,3561,4290,4199,3330,2439,2005,1715,1483,1406,3152,32.6
Brooklyn,47,BK72,Williamsburg,32926,5637,4081,3517,3404,3019,2397,1613,1246,951,1037,1235,1478,1125,2186,19.7
Brooklyn,47,BK73,North Side-South Side,45774,3006,2368,2114,2397,4478,7449,6144,4262,2863,2256,1909,1753,1514,3261,30.7
Brooklyn,47,BK75,Bedford,70713,6850,6109,5426,5390,6377,7007,6183,4818,4308,4060,3686,2771,2343,5385,28.7
